Start,Name of Conflict
727,1712,New York Slave Revolt of 1712
728,1712,Toggenburg War
729,1712,First Fox War
730,1713,"War of the Catalans_x000D_
Part of the War of the Spanish Succession"
731,1714,Ottoman–Venetian War (1714–18)
732,1715,Yamasee War
733,1715,"Jacobite rising of 1715_x000D_
Also called ""The Fifteen"""
734,1717,1717 Omani invasion of Bahrain
735,1718,War of the Quadruple Alliance
736,1719,Second Javanese War of Succession
737,1720,Chinese expedition to Tibet (1720)
738,1721,Attingal Outbreak
739,1721,Revolt of the Comuneros (Paraguay)
740,1721,Chickasaw Wars
741,1722,Father Rale's War
742,1722,Russo-Persian War (1722–1723)
743,1722,Ottoman–Hotaki War (1722–1727)
744,1725,Saltpeter Wars
745,1726,Appeal War
746,1727,Anglo-Spanish War (1727–1729)
747,1728,Second Fox War
748,1730,Patrona Halil Revolt
749,1730,Ottoman–Persian War (1730–1735)
750,1732,Kovenu war
751,1733,1733 slave insurrection on St. John
752,1733,War of the Polish Succession
753,1735,Miao Rebellion (1735–36)
754,1735,Spanish–Portuguese War (1735–1737)
755,1735,Russo–Turkish War (1735–1739)
756,1735,Bashkir Rebellion
757,1738,Nader Shah's invasion of India
758,1739,Stono Rebellion
759,1739,"War of Jenkins' Ear_x000D_
Part of the War of the Austrian Succession"
760,1740,War of the Austrian Succession
761,1740,First Silesian War
762,1741,Java War (1741–1743)
763,1741,"Russo-Swedish War (1741–1743)_x000D_
Part of the War of the Austrian Succession"
764,1743,Ottoman–Persian War (1743–1746)
765,1744,Dagohoy rebellion
766,1744,Chukchi War
767,1744,"King George's War_x000D_
Part of the War of the Austrian Succession"
768,1744,"Second Silesian War_x000D_
Part of the War of the Austrian Succession"
769,1745,"Jacobite rising of 1745_x000D_
Also called ""The Forty-Five"""
770,1746,"First Carnatic War_x000D_
Part of the War of the Austrian Succession"
771,1747,Choctaw Civil War
772,1747,Civil War between Afsharid and Qajar
773,1749,Second Carnatic War
774,1749,Third Javanese War of Succession
775,1752,Konbaung–Hanthawaddy War
776,1754,"French and Indian War_x000D_
Part of the Seven Years' War"
777,1756,Guaraní War
778,1756,Seven Years' War
779,1756,"Third Silesian War_x000D_
Part of the Seven Years' War"
780,1757,"Third Carnatic War_x000D_
Part of the Seven Years' War"
781,1757,"Pomeranian War_x000D_
Part of the Seven Years' War"
782,1757,Revolt of the Altishahr Khojas
783,1758,"Anglo-Cherokee War_x000D_
Part of the French and Indian War"
784,1759,Burmese–Siamese War (1759–1760)
785,1760,Tacky's War
786,1761,Canek Revolt
787,1762,"Fantastic War_x000D_
Part of the Seven Years' War"
788,1763,Berbice slave uprising
789,1763,Pontiac's War
790,1763,"Russo-Circassian War_x000D_
Part of the Caucasian War"
791,1765,Strilekrigen
792,1765,Burmese–Siamese War (1765–67)
793,1765,Sino-Burmese War
794,1765,War of the Regulation
795,1766,Mysorean invasion of Kerala
796,1767,First Anglo-Mysore War
797,1768,Louisiana Rebellion of 1768
798,1768,Koliyivshchyna
799,1768,French conquest of Corsica
800,1768,Russo-Turkish War (1768–1774)
801,1768,Bar Confederation
802,1769,First Carib War
803,1769,Danish-Algerian War
804,1769,Moamoria rebellion
805,1771,Moscow plague riot of 1771
806,1771,Tây Sơn–Nguyễn War (1771–1785)
807,1771,Fakir-Sannyasi rebellion
808,1773,Pugachev's Rebellion
809,1774,Lord Dunmore's War
810,1775,Rising of the Priests
811,1775,Burmese–Siamese War (1775–1776)
812,1775,First Anglo-Maratha War
813,1775,American Revolutionary War
814,1776,Spanish–Portuguese War (1776–1777)
815,1776,Chickamauga Wars (1776–1794)
816,1778,War of the Bavarian Succession
817,1779,"Anglo-Spanish War_x000D_
Part of the American Revolutionary War"
818,1779,First Xhosa War
819,1780,"Fourth Anglo-Dutch War_x000D_
Part of the American Revolutionary War"
820,1780,Second Anglo-Mysore War
821,1781,Jahriyya revolt
822,1781,Revolt of the Comuneros (New Granada)
823,1782,1782 Sylhet uprising
824,1782,Unification of Hawaii
825,1783,1782–83 unrest in Bahrain
826,1783,Kuban Nogai Uprising
827,1784,Oman-Zanzibar War
828,1784,Kettle War
829,1784,"Revolt of Horea, Cloșca and Crișan"
830,1785,Battle of Rạch Gầm-Xoài Mút
831,1785,Burmese–Siamese War (1785–86)
832,1785,Northwest Indian War
833,1786,Tây Sơn–Trịnh War
834,1786,Lofthuus' Rebellion
835,1786,Shays' Rebellion
836,1787,Prussian invasion of Holland
837,1787,Burmese–Siamese War (1787)
838,1787,Austro-Turkish War (1787–1791)
839,1787,Russo-Turkish War (1787–92)
840,1787,Tây Sơn–Nguyễn War (1787–1802)
841,1788,Russo-Swedish War (1788–1790)
842,1788,Theatre War
843,1788,Australian frontier wars
844,1788,Sino-Nepalese War
845,1788,Battle of Ngọc Hồi-Đống Đa
846,1789,Menashi-Kunashir Rebellion
847,1789,Third Anglo-Mysore War
848,1789,Qajar conquest of the Zand Dynasty
849,1789,Second Xhosa War
850,1789,Liège Revolution
851,1789,Brabant Revolution
852,1790,Pemulwuy Resistance
853,1790,Saxon Peasants' Revolt
854,1791,Haitian Revolution
855,1791,Whiskey Rebellion
856,1792,Dundiya rebellion
857,1792,Polish–Russian War of 1792
858,1792,Burmese–Siamese War (1792)
859,1792,"War of the First Coalition_x000D_
Part of the French Revolutionary Wars"
860,1793,"War in the Vendée_x000D_
Part of the War of the First Coalition"
861,1793,Tripolitanian civil war
862,1793,Cotiote War
863,1794,Nickajack Expedition
864,1794,Pazvantoğlu Rebellion
865,1794,Kościuszko Uprising
866,1794,White Lotus Rebellion
867,1795,Curaçao Slave Revolt of 1795
868,1795,Battle of Krtsanisi
869,1795,Fédon's rebellion
870,1795,Hawkesbury and Nepean Wars
871,1795,Second Carib War
872,1795,Miao Rebellion (1795–1806)
873,1796,Persian Expedition of 1796
874,1796,Anglo-Spanish War (1796–1808)
875,1797,1797 Rugby School rebellion
876,1797,Denisko uprising
877,1797,Burmese–Siamese War (1797)
878,1798,Peasants' War (1798)
879,1798,"War of the Second Coalition_x000D_
Part of the French Revolutionary Wars"
880,1798,Quasi-War
881,1798,Irish Rebellion of 1798
882,1798,Fourth Anglo-Mysore War
883,1799,"War of Knives_x000D_
Part of Haitian Revolution"
884,1799,Fries's Rebellion
885,1799,Third Xhosa War
886,1801,Temne War
887,1801,Tripolitan War
888,1801,War of the Oranges
889,1802,Fourth quarter of the Haitian Revolution
890,1802,Sack of Karbala
891,1802,Stecklikrieg
892,1802,Tedbury's War
893,1803,Souliote War
894,1803,Irish Rebellion of 1803
895,1803,Second Anglo-Maratha War
896,1803,Burmese–Siamese War (1803–05)
897,1803,First Kandyan War
898,1803,Napoleonic Wars
899,1803,"War of the Third Coalition_x000D_
Part of the Napoleonic Wars"
900,1803,Padri War
901,1804,1804 Mtiuleti rebellion
902,1804,Battle of Suriname
903,1804,"Battle of Sitka_x000D_
Part of the Russian colonization of the Americas"
904,1804,"First Serbian Uprising_x000D_
Part of the Serbian Revolution"
905,1804,"Uprising against the Dahije_x000D_
Part of the First Serbian Uprising"
906,1804,Castle Hill convict rebellion
907,1804,Fulani War
908,1804,"Russo-Persian War (1804–1813)_x000D_
Part of the Russo-Persian Wars"
909,1805,"Egyptian Revolution _x000D_
Part of the Napoleonic Wars"
910,1805,Janissaries' Revolt
911,1805,"Franco-Swedish War_x000D_
Part of the Napoleonic Wars"
912,1805,Haitian invasion of Santo Domingo
913,1806,"War of the Fourth Coalition_x000D_
Part of the Napoleonic Wars"
914,1806,"Russo-Turkish War (1806–1812)_x000D_
Part of the Napoleonic Wars"
915,1806,British invasions of the Río de la Plata
916,1806,Ashanti–Fante War
917,1806,War of Christophe's Secession
918,1806,Vellore Mutiny
919,1807,"Anglo-Turkish War (1807–1809)_x000D_
Part of the Napoleonic Wars"
920,1807,Alexandria expedition of 1807
921,1807,Tican's rebellion
922,1807,Froberg mutiny
923,1807,Brazilian slave revolt of 1807
924,1807,Janissaries' Revolt
925,1807,"Gunboat War _x000D_
Part of the Napoleonic Wars"
926,1807,"Anglo-Russian War (1807–1812)_x000D_
Part of the Napoleonic Wars"
927,1807,Basi Revolt
928,1807,"Peninsular War_x000D_
Part of the Napoleonic Wars"
929,1807,Mtetwa Empire Expansion
930,1807,New Zealand Musket Wars
931,1807,Ottoman coups of 1807–08
932,1808,Rum Rebellion
933,1808,Finnish War
934,1808,"Spanish reconquest of Santo Domingo _x000D_
Part of the Napoleonic Wars"
935,1808,"Dano-Swedish War of 1808–09_x000D_
Part of the Napoleonic Wars"
936,1808,Travancore Rebellion
937,1809,Gurkha-Sikh War
938,1809,Persian Gulf campaign of 1809
939,1809,Coup of 1809
940,1809,"War of the Fifth Coalition_x000D_
Part of the Napoleonic Wars"
941,1809,1809 Gottscheer Rebellion
942,1809,"Tyrol Rebellion_x000D_
Part of the Napoleonic Wars"
943,1809,"Quito Revolution_x000D_
Part of the Spanish American wars of independence"
944,1809,Burmese–Siamese War (1809–1812)
945,1809,"Bolivian War of Independence_x000D_
Part of the Spanish American wars of independence"
946,1810,"Argentine War of Independence_x000D_
Part of the Spanish American wars of independence"
947,1810,"Tecumseh's War_x000D_
Part of the War of 1812"
948,1810,US occupation of West Florida
949,1810,Punjab War
950,1810,"Chilean War of Independence_x000D_
Part of the Spanish American wars of independence"
951,1810,Conquest of Hawaii
952,1810,Amadu's Jihad
953,1810,"Mexican War of Independence_x000D_
Part of the Spanish American wars of independence"
954,1811,Cambodian rebellion (1811–12)
955,1811,Battle of Khakeekera
956,1811,1811 German Coast uprising
957,1811,Invasion of Java (1811)
958,1811,Tonquin incident
959,1811,Fourth Xhosa War
960,1811,Ga–Fante War
961,1811,Arakanese Uprising
962,1811,"Battle of Las Piedras_x000D_
Part of the Spanish American wars of independence"
963,1811,Cambodian Rebellion
964,1811,Gwanseo Peasant War (1811–1812)
965,1811,Paraguayan Revolt
966,1811,Wahhabi War
967,1811,"Venezuelan War of Independence_x000D_
Part of the Spanish American wars of independence"
968,1811,"Peruvian War of Independence_x000D_
Part of the Spanish American wars of independence"
969,1812,Battle of Shela
970,1812,Aponte conspiracy
971,1812,"French invasion of Russia_x000D_
Part of the Napoleonic Wars"
972,1812,"War of the Sixth Coalition_x000D_
Part of the Napoleonic Wars"
973,1812,War of 1812
974,1812,Pemmican War
975,1813,Eight Trigrams uprising of 1813
976,1813,Afghan-Sikh Wars
977,1813,Creek War
978,1813,Peoria War
979,1814,Brazilian slave revolt of 1814
980,1814,"Swedish–Norwegian War_x000D_
Part of the Napoleonic Wars"
981,1814,Anglo-Nepalese War
982,1814,Ashanti–Akim–Akwapim War
983,1814,"Hadži Prodan's Revolt_x000D_
Part of the Serbian Revolution"
984,1814,Argentine Civil Wars
985,1815,Slachter's Nek Rebellion
986,1815,Second Barbary War
987,1815,Second Kandyan War
988,1815,"Hundred Days_x000D_
War of the Seventh Coalition"
989,1815,"Neapolitan War_x000D_
Part of the Hundred Days"
990,1815,Temne-Susu War
991,1815,"Spanish reconquest of New Granada_x000D_
Part of the Spanish American wars of independence"
992,1815,"Second Serbian Uprising_x000D_
Part of the Serbian Revolution"
993,1816,Bussa's Rebellion
994,1816,Bombardment of Algiers
995,1816,Luso-Brazilian conquest of the Banda Oriental
996,1816,Afaqi Khoja revolts
997,1817,Pernambucan Revolt
998,1817,Pentrich rising
999,1817,Third Anglo-Maratha War
1000,1817,"First Seminole War_x000D_
Part of the Seminole Wars"
1001,1817,Uva Rebellion
1002,1817,Ndwandwe–Zulu War
1003,1817,Burmese invasions of Assam
1004,1817,Caucasian War
1005,1818,Fifth Xhosa War
1006,1818,Zulu wars of conquest
1007,1819,"Bolívar's campaign to liberate New Granada_x000D_
Part of the Venezuelan War of Independence"
1008,1819,Chuguev uprising
1009,1820,Revolution of 1820
1010,1820,Cambodian rebellion (1820)
1011,1820,Ali Pasha's Revolt
1012,1820,"Ecuadorian War of Independence_x000D_
Part of the Spanish American wars of independence"
1013,1820,Trienio Liberal
1014,1820,Texas–Indian wars
1015,1821,Siamese invasion of Kedah
1016,1821,Ijebu and Ife war against Owu
1017,1821,Wallachian uprising (1821)
1018,1821,Niš Rebellion (1821)
1019,1821,Ottoman–Persian War (1821–23)
1020,1821,Greek War of Independence
1021,1821,Padri War
1022,1821,Spanish attempts to reconquer Mexico
1023,1821,Comanche–Mexico Wars
1024,1821,1821 Alghero revolt
1025,1822,Casa Mata Plan Revolution
1026,1822,Brazilian War of Independence
1027,1822,Haitian occupation of Santo Domingo
1028,1823,Hundred Thousand Sons of Saint Louis
1029,1823,Ochomogo War
1030,1823,Demerara rebellion of 1823
1031,1823,Expedition to the West Coast of Borneo
1032,1823,Revolt of Querétaro
1033,1823,First Anglo-Ashanti War
1034,1823,First Greek civil war
1035,1824,Chumash revolt of 1824
1036,1824,Bathurst War
1037,1824,Confederation of the Equator Revolt
1038,1824,First Bone War
1039,1824,April Revolt
1040,1824,Second Greek civil war
1041,1824,First Anglo-Burmese War
1042,1825,Uprising in the Yamal tundra[ru]
1043,1825,Second Bone War
1044,1825,Battle of Tripoli (1825)
1045,1825,Aegean Sea Anti-Piracy Operations of the United States
1046,1825,Decembrist revolt
1047,1825,Cisplatine War
1048,1825,Java War
1049,1825,Franco-Trarzan War of 1825
1050,1826,Kurdish revolt of 1826–1837
1051,1826,First Central American Civil War
1052,1826,"Russo-Persian War (1826–28)_x000D_
Part of the Russo-Persian Wars"
1053,1826,Chernigov Regiment revolt
1054,1826,Siamese-Lao War
1055,1827,1827 Honduran coup d'état
1056,1827,Winnebago War
1057,1828,1828 Peruvian intervention in Bolivia[es]
1058,1828,Gran Colombia–Peru War
1059,1828,Irish and German Mercenary Soldiers' Revolt
1060,1828,Bombardment of Tripoli (1828)
1061,1828,Liberal Wars
1062,1828,Russo-Turkish War (1828–29)
1063,1828,Black War
1064,1829,Austrian expedition against Morocco (1829)
1065,1829,Chilean Civil War of 1829–30
1066,1829,Anglo-Khasi War
1067,1830,Freiämtersturm
1068,1830,"July Revolution_x000D_
French Revolution of 1830"
1069,1830,November Uprising
1070,1830,Belgian Revolution
1071,1830,French conquest of Algeria
1072,1830,Port Phillip District Wars
1073,1831,Dutch expedition on the west coast of Sumatra
1074,1831,Merthyr Rising
1075,1831,Turner's Rebellion
1076,1831,Siamese–Vietnamese War (1831–34)
1077,1831,Baptist War
1078,1831,Naning War
1079,1831,Egyptian–Ottoman War (1831–33)
1080,1831,Yagan Resistance
1081,1831,Bosnian Uprising (1831–32)
1082,1832,Black Hawk War
1083,1832,June Rebellion
1084,1833,Desert Campaign (1833–34)
1085,1833,Lê Văn Khôi revolt
1086,1833,Albanian Revolts of 1833–39
1087,1833,First Carlist War
1088,1834,Peruvian civil war of 1834
1089,1834,Coorg War
1090,1834,Priest Jovica's Rebellion
1091,1834,Peasants' Revolt of 1834 (Palestine)
1092,1834,Battle of Pinjarra
1093,1834,Sixth Xhosa War
1094,1835,1835–58 revolt in Ottoman Tripolitania
1095,1835,Revolution of the Reforms[es]
1096,1835,Salaverry-Santa Cruz War
1097,1835,League War
1098,1835,Malê Revolt
1099,1835,Zacatecas Rebellion
1100,1835,Texas Revolution
1101,1835,"Second Seminole War_x000D_
Part of the Seminole Wars"
1102,1835,Ragamuffin War
1103,1835,Cabanagem
1104,1836,Posavina rebellion (1836)
1105,1836,Belogradchik rebellion (1836)
1106,1836,Berkovitsa rebellion (1836)
1107,1836,Pirot rebellion
1108,1836,War of the Confederation
1109,1837,Siege of Herat (1838) Afghan-Persian War
1110,1837,Revolt of 1837 (New Mexico)
1111,1837,Sabinada
1112,1837,"Lower Canada Rebellion_x000D_
Part of the Rebellions of 1837"
1113,1837,"Upper Canada Rebellion_x000D_
Part of the Rebellions of 1837"
1114,1837,Dutch–Ahanta War
1115,1837,Kenesary's Kazakh uprising
1116,1838,Muhammad Ali's Yemeni Expedition Part of the Yemeni–Ottoman Conflicts
1117,1838,Battle of Blood River
1118,1838,Mormon War
1119,1838,Balaiada
1120,1838,Pastry War
1121,1839,Newport Rising
1122,1839,Züriputsch
1123,1839,Egyptian–Ottoman War (1839–41)
1124,1839,Khivan campaign of 1839
1125,1839,War of the Supremes
1126,1839,First Anglo-Afghan War
1127,1839,First Opium War
1128,1839,Albanian Revolt of 1847
1129,1839,Uruguayan Civil War
1130,1840,Cambodian rebellion (1840)
1131,1840,Eumerella Wars
1132,1841,Niš Rebellion (1841)
1133,1841,1841 rebellion in Guria
1134,1841,Siamese–Vietnamese War (1841–45)
1135,1841,Sino-Sikh War
1136,1842,Kurdish revolt of 1842–1847
1137,1842,Shoorcha rebellion
1138,1842,Russian Conquest of Bukhara
1139,1842,Mier expedition
1140,1843,Peruvian civil war of 1843–1844
1141,1843,Albanian Revolt of 1843–44
1142,1843,"Wairau Affray_x000D_
Part of the New Zealand Wars"
1143,1843,Battle of One Tree Hill
1144,1844,Dominican War of Independence
1145,1844,Franco-Moroccan War
1146,1844,Franco-Tahitian War
1147,1845,Albanian Revolt of 1845
1148,1845,First Anglo-Sikh War
1149,1845,"Flagstaff War_x000D_
Northern War_x000D_
Part of the New Zealand Wars"
1150,1846,Peasant uprising of 1846[es]
1151,1846,Revolution of Maria da Fonte
1152,1846,"Hutt Valley Campaign_x000D_
Part of the New Zealand Wars"
1153,1846,Kraków uprising
1154,1846,Galician slaughter
1155,1846,Dutch intervention in Northern Bali (1846)
1156,1846,Revolt of the Faitiões
1157,1846,Patuleia
1158,1846,Seventh Xhosa War
1159,1846,"Second Carlist War_x000D_
War of the Madrugadores"
1160,1846,Mexican–American War
1161,1846,"Wanganui Campaign_x000D_
Part of the New Zealand Wars"
1162,1847,Sonderbund War
1163,1847,Sierra Gorda Rebellion
1164,1847,Cayuse War
1165,1847,Caste War of Yucatán
1166,1847,Operations against the Baizai (1847)
1167,1848,Venezuelan Civil War of 1848–1849[es]
1168,1848,Revolutions of 1848 in the Italian states
1169,1848,Greater Poland Uprising (1848)
1170,1848,French Revolution of 1848
1171,1848,Revolutions of 1848 in the German states
1172,1848,"Baden Revolution _x000D_
Part of the Revolutions of 1848 in the German states"
1173,1849,"May Uprising in Dresden _x000D_
Part of the Revolutions of 1848 in the German states"
1174,1849,"Palatine uprising _x000D_
Part of the Revolutions of 1848 in the German states"
1175,1848,Revolutions of 1848 in the Habsburg areas
1176,1848,Wallachian Revolution of 1848
1177,1848,Sicilian revolution of independence of 1848
1178,1848,Dutch intervention in Northern Bali (1848)
1179,1848,Matale rebellion
1180,1848,First Italian War of Independence
1181,1848,Second Anglo-Sikh War
1182,1848,Hungarian War of Independence
1183,1848,Serb Uprising of 1848–49
1184,1848,Praieira revolt
1185,1848,Slovak Uprising of 1848–49
1186,1848,"First Schleswig War_x000D_
The Three Years' War"
1187,1849,Dutch intervention in Bali (1849)
1188,1849,Yemeni Expedition of 1849 Part of the Yemeni–Ottoman Conflicts
1189,1849,Burmese–Siamese War (1849–55)
1190,1849,Apache Wars
1191,1849,Operations against the Baizai (1849)
1192,1850,Soninke-Marabout War (1850–1856)
1193,1850,Taiping Rebellion
1194,1850,Eighth Xhosa War
1195,1851,1851 Chilean Revolution
1196,1851,Bombardment of Salé
1197,1851,1851 French coup d'état
1198,1851,Platine War
1199,1851,Palembang Highlands Expeditions
1200,1851,California Indian Wars
1201,1851,Nian Rebellion
1202,1852,Kautokeino rebellion
1203,1852,Second Anglo-Burmese War
1204,1852,Montenegrin–Ottoman War (1852–53)
1205,1852,Herzegovina Uprising (1852–62)
1206,1853,Rebellion of Barquisimeto[es]
1207,1853,Crimean War
1208,1854,1854 Macedonian rebellion
1209,1854,Expedition against the Chinese in Montrado
1210,1854,Epirus Revolt of 1854
1211,1854,Revolution of Ayutla
1212,1854,Miao Rebellion (1854–73)
1213,1854,French conquest of Senegal
1214,1854,Red Turban Rebellion (1854–56)
1215,1854,Bleeding Kansas
1216,1855,Kurdish revolt of 1855
1217,1855,First Fiji Expedition
1218,1855,Nepalese–Tibetan War
1219,1855,Santhal rebellion
1220,1855,Yakima War
1221,1855,Rogue River Wars
1222,1855,Battle of Ash Hollow
1223,1855,Puget Sound War
1224,1855,"Third Seminole War_x000D_
part of the Seminole Wars"
1225,1855,Nias Expedition
1226,1855,Punti-Hakka Clan Wars
1227,1856,Peruvian civil war of 1856–1858
1228,1856,Filibuster War
1229,1856,Khost rebellion (1856–1857)
1230,1856,Campaign of 1856–57
1231,1856,Battle of Tres Forcas
1232,1856,"Second Opium War_x000D_
Arrow War"
1233,1856,Anglo-Persian War
1234,1856,"Panthay Rebellion_x000D_
Du Wenxiu Rebellion"
1235,1856,1857 Cheyenne Expedition
1236,1857,"Indian Rebellion of 1857_x000D_
India's First War of Independence"
1237,1857,Utah War
1238,1857,Ecuadorian–Peruvian War (1857–1860)
1239,1857,Reform War
1240,1857,Cibaenian Revolution
1241,1857,Pahang Civil War
1242,1858,March Revolution (Venezuela)[es]
1243,1858,Mahtra War
1244,1858,Coeur d'Alene War
1245,1858,Fraser Canyon War
1246,1858,Pecija's First Revolt
1247,1858,Cochinchina Campaign
1248,1859,Indigo revolt
1249,1859,Second Fiji Expedition
1250,1859,Second Italian War of Independence
1251,1859,Revolution of 1859
1252,1859,Pig War
1253,1859,Hispano-Moroccan War (1859–60)
1254,1859,Banjarmasin War
1255,1859,Federal War
1256,1859,1859 Perugia uprising
1257,1860,Expedition of the Thousand
1258,1860,Portugal–Angoche conflict
1259,1860,1860 Mount Lebanon civil war
1260,1860,Paiute War
1261,1860,"First Taranaki War_x000D_
Second Maori War_x000D_
Part of New Zealand Wars"
1262,1860,Colombian Civil War (1860–62)
1263,1860,Barasa–Ubaidat War
1264,1861,Occupation of Araucanía
1265,1861,American Civil War
1266,1861,"French intervention in Mexico_x000D_
Also known as Franco-Mexican War"
1267,1862,Dakota War of 1862
1268,1862,"Dungan Revolt (1862–77)_x000D_
Muslim Rebellion"
1269,1863,Ecuadorian–Colombian War
1270,1863,"Battle of Shimonoseki Straits_x000D_
Part of the Japanese Civil War"
1271,1863,"Bombardment of Kagoshima_x000D_
Anglo-Satsuma War_x000D_
Part of the Japanese Civil War"
1272,1863,"Shimonoseki Campaign_x000D_
Part of the Japanese Civil War"
1273,1863,Ambela Campaign
1274,1863,"Invasion of Waikato_x000D_
Part of New Zealand Wars"
1275,1863,Second Anglo-Ashanti War
1276,1863,Dominican Restoration War
1277,1863,January Uprising
1278,1863,Colorado War
1279,1863,"Second Taranaki War_x000D_
Part of New Zealand Wars"
1280,1864,"Kinmon Incident and First Chōshū expedition_x000D_
Part of the Japanese Civil War"
1281,1864,"Second Schleswig War_x000D_
Second Danish-German War"
1282,1864,"Battle of Dybbøl_x000D_
Part of Second Schleswig War"
1283,1864,"Tauranga Campaign_x000D_
Part of the New Zealand Wars"
1284,1864,Uruguayan War
1285,1864,Mejba Revolt
1286,1864,"Mito Rebellion_x000D_
Kanto insurrection_x000D_
Part of the Japanese Civil War"
1287,1864,Bhutan War
1288,1864,Conquest of Tashkent[ru]
1289,1864,Chincha Islands War
1290,1864,Snake War
1291,1864,Pasoemah Expedition
1292,1864,Paraguayan War
1293,1865,Peruvian civil war of 1865
1294,1865,Saudi Civil War
1295,1865,Black Hawk War (1865–72)
1296,1865,Powder River Expedition (1865)
1297,1865,Morant Bay rebellion
1298,1865,Hualapai War
1299,1865,Seqiti War
1300,1865,"East Cape War_x000D_
Part of the New Zealand Wars"
1301,1865,Russo-Bukharan Wars
1302,1865,Haw wars
1303,1866,"Second Chōshū expedition_x000D_
Summer War"
1304,1866,"Austro-Prussian War_x000D_
Seven Weeks War_x000D_
German Civil War"
1305,1866,"Third Italian War of Independence_x000D_
Part of the Austro-Prussian War"
1306,1866,Red Cloud's War
1307,1866,Baikal Insurrection
1308,1866,Cretan Revolt (1866–69)
1309,1866,"French campaign against Korea (1866)_x000D_
Byeongin Western invasion"
1310,1866,1867 Macedonian rebellion
1311,1867,Peruvian civil war of 1867
1312,1867,La Genuina[es]
1313,1867,Blue revolution (Venezuela)[es]
1314,1867,Andaman Islands Expedition
1315,1867,Comanche Campaign
1316,1867,Qatari–Bahraini War
1317,1867,"Klang War_x000D_
Selangor Civil War"
1318,1868,Six Years' War
1319,1868,Glorious Revolution (Spain)
1320,1868,Grito de Lares
1321,1868,"Titokowaru's War_x000D_
Part of the New Zealand Wars"
1322,1868,"Boshin War_x000D_
War of the Year of the Dragon_x000D_
Part of the Japanese Civil War"
1323,1868,British Expedition to Abyssinia
1324,1868,"Te Kooti's War_x000D_
Part of the New Zealand Wars"
1325,1868,"Ten Years' War_x000D_
Great War"
1326,1869,Haitian Revolution of 1869
1327,1869,1869 uprising in Krivošije
1328,1869,Red River Rebellion
1329,1870,Kirk–Holden war
1330,1870,Al-Hasa Expedition
1331,1870,Aday uprising (1870)[ru]
1332,1870,Franco-Prussian War
1333,1870,Revolution of the Lances
1334,1870,Sheep Wars
1335,1870,Kalkadoon Wars
1336,1871,French Civil War of 1871
1337,1871,United States expedition to Korea
1338,1871,Nukapu Expedition
1339,1872,Dembos War (1872–1873)
1340,1872,Yemeni Expedition of 1872 Part of the Yemeni–Ottoman Conflicts
1341,1872,Third Carlist War
1342,1872,"Modoc War_x000D_
Lava Beds War"
1343,1873,Khivan campaign of 1873
1344,1873,Aceh War
1345,1873,Revolt of the Muckers
1346,1873,Pabna Peasant Uprisings
1347,1873,Third Anglo-Ashanti War
1348,1873,Colfax County War
1349,1873,Cantonal Revolution
1350,1874,Brooks–Baxter War
1351,1874,Saga Rebellion
1352,1874,Japanese invasion of Taiwan (1874)
1353,1874,Red River War
1354,1874,Ethiopian–Egyptian War
1355,1875,Ganghwa Island incident
1356,1875,Las Cuevas War
1357,1875,Perak War
1358,1875,Mason County War
1359,1876,Shinpuren Rebellion
1360,1876,Razlovtsi insurrection
1361,1876,April Uprising
1362,1876,Akizuki Rebellion
1363,1876,Hagi Rebellion
1364,1876,Colombian Civil War of 1876
1365,1876,"Great Sioux War of 1876_x000D_
Black Hills War"
1366,1876,Qing reconquest of Xinjiang
1367,1876,"Montenegrin–Ottoman War (1876–78)_x000D_
Part of the Great Eastern Crisis"
1368,1877,Angoche Civil War
1369,1877,Nez Perce War
1370,1877,Satsuma Rebellion
1371,1877,San Elizario Salt War
1372,1877,Ninth Xhosa War
1373,1877,Russo-Turkish War (1877–78)
1374,1877,Cheyenne War
1375,1878,Bannock War
1376,1878,Austro-Hungarian campaign in Bosnia and Herzegovina in 1878
1377,1878,Kanak Revolt
1378,1878,Lincoln County War
1379,1878,Kumanovo Uprising
1380,1878,Epirus Revolt of 1878
1381,1878,1878 Greek Macedonian rebellion
1382,1878,Kresna–Razlog Uprising
1383,1878,Second Anglo-Afghan War
1384,1878,Conquest of the Desert
1385,1878,Nauruan Civil War
1386,1879,Little War (Cuba)
1387,1879,Jementah Civil War
1388,1879,Anglo-Zulu War
1389,1879,Second Sekhukhune War
1390,1879,War of the Pacific
1391,1879,Sheepeater Indian War
1392,1879,Victorio's War
1393,1880,Basuto Gun War
1394,1880,Brsjak Revolt
1395,1880,Kurdish revolt of 1880–1881
1396,1880,First Boer War
1397,1881,Mapuche uprising of 1881
1398,1881,French occupation of Tunisia
1399,1881,Mahdist War
1400,1882,Anglo-Egyptian War
1401,1882,Mandingo Wars
1402,1882,Pleasant Valley War
1403,1883,Ekumeku Movement
1404,1883,Timok Rebellion
1405,1883,First Madagascar expedition
1406,1883,Tonkin Campaign
1407,1884,Peruvian civil war of 1884–1885
1408,1884,Chichibu Incident
1409,1884,Sino-French War
1410,1884,Mandor Rebellion
1411,1885,Vose Uprising[ru]
1412,1885,North-West Rebellion
1413,1885,Serbo-Bulgarian War
1414,1885,Barrios' War of Reunification
1415,1885,Third Anglo-Burmese War
1416,1885,Jambi Uprising
1417,1886,Samoan Civil War
1418,1887,Karonga War
